FFPC ID,Player,Position,ADP,Times Drafted,Date
14038,Mike Evans,WR,25.08,40,2022-06-12
26943,Chris Godwin,WR,59.5,40,2022-06-12
5228,Tom Brady,QB,79.43,40,2022-06-12
27341,Russell Gage,WR,102.43,40,2022-06-12
T0742,Rob Gronkowski,TE,105.9,40,2022-06-12
24443,Cameron Brate,TE,206.38,40,2022-06-12
10025,Julio Jones,WR,230.48,35,2022-06-12
14038,Mike Evans,WR,25,33,2022-06-11
26943,Chris Godwin,WR,59.7,33,2022-06-11
5228,Tom Brady,QB,79.42,33,2022-06-11
27341,Russell Gage,WR,103.12,33,2022-06-11
T0742,Rob Gronkowski,TE,106.15,33,2022-06-11
24443,Cameron Brate,TE,206.91,33,2022-06-11
10025,Julio Jones,WR,237.48,27,2022-06-11
14038,Mike Evans,WR,24.62,34,2022-06-10
26943,Chris Godwin,WR,59.53,34,2022-06-10
5228,Tom Brady,QB,79.91,34,2022-06-10
27341,Russell Gage,WR,103.85,34,2022-06-10
T0742,Rob Gronkowski,TE,105.68,34,2022-06-10
24443,Cameron Brate,TE,208.53,34,2022-06-10
10025,Julio Jones,WR,232.24,29,2022-06-10
14038,Mike Evans,WR,24.75,36,2022-06-09
26943,Chris Godwin,WR,60.64,36,2022-06-09
5228,Tom Brady,QB,79.58,36,2022-06-09
27341,Russell Gage,WR,106.67,36,2022-06-09
T0742,Rob Gronkowski,TE,107.08,36,2022-06-09
24443,Cameron Brate,TE,209.11,36,2022-06-09
10025,Julio Jones,WR,238.33,30,2022-06-09
14038,Mike Evans,WR,24.71,34,2022-06-08
26943,Chris Godwin,WR,60.47,34,2022-06-08
5228,Tom Brady,QB,78.5,34,2022-06-08
27341,Russell Gage,WR,108.24,34,2022-06-08
T0742,Rob Gronkowski,TE,108.76,34,2022-06-08
24443,Cameron Brate,TE,209.24,34,2022-06-08
10025,Julio Jones,WR,243.29,27,2022-06-08
14038,Mike Evans,WR,24.85,33,2022-06-07
26943,Chris Godwin,WR,61.27,33,2022-06-07
5228,Tom Brady,QB,79.15,33,2022-06-07
T0742,Rob Gronkowski,TE,108.64,33,2022-06-07
27341,Russell Gage,WR,109.21,33,2022-06-07
24443,Cameron Brate,TE,214.06,32,2022-06-07
10025,Julio Jones,WR,241,27,2022-06-07
14038,Mike Evans,WR,25.18,33,2022-06-06
26943,Chris Godwin,WR,61.85,33,2022-06-06
5228,Tom Brady,QB,79.64,33,2022-06-06
T0742,Rob Gronkowski,TE,108.82,33,2022-06-06
27341,Russell Gage,WR,110.3,33,2022-06-06
24443,Cameron Brate,TE,213.79,32,2022-06-06
10025,Julio Jones,WR,250.18,25,2022-06-06
14038,Mike Evans,WR,25.23,35,2022-06-05
26943,Chris Godwin,WR,62.26,35,2022-06-05
5228,Tom Brady,QB,78.37,35,2022-06-05
T0742,Rob Gronkowski,TE,109.51,35,2022-06-05
27341,Russell Gage,WR,112.14,35,2022-06-05
24443,Cameron Brate,TE,218.54,33,2022-06-05
10025,Julio Jones,WR,244.51,28,2022-06-05
14038,Mike Evans,WR,25.66,32,2022-06-04
26943,Chris Godwin,WR,62.28,32,2022-06-04
5228,Tom Brady,QB,76.69,32,2022-06-04
T0742,Rob Gronkowski,TE,111.16,32,2022-06-04
27341,Russell Gage,WR,113.66,32,2022-06-04
24443,Cameron Brate,TE,225.53,29,2022-06-04
10025,Julio Jones,WR,233.38,28,2022-06-04
14038,Mike Evans,WR,25.86,28,2022-06-03
26943,Chris Godwin,WR,62.25,28,2022-06-03
5228,Tom Brady,QB,76.71,28,2022-06-03
T0742,Rob Gronkowski,TE,110.93,28,2022-06-03
27341,Russell Gage,WR,113.04,28,2022-06-03
24443,Cameron Brate,TE,228,25,2022-06-03
10025,Julio Jones,WR,233.68,24,2022-06-03
